sent	label
Please deactivate all my reminders	deactivate all my reminders
Remind me after each hr till to the 12am tonight	Not Found
Will I receive a call at 11?	Will I receive a call
Fr eating also I can say u to reminder me	Not Found
Remind me to make things to do for tomorrow at 11 pm tonight	make things to do for
Hi still I am receiving reminders	receiving reminders
Daily reminder is already set for 10:30pm, I want it to change it to 1pm daily	Not Found
Please remind me of discussion with my boss	discussion with my boss
Wt it is	Wt it
Twommor morning 11am remaind me	Not Found
Can you remind me tomorrow ?	Not Found
But I want to set some reminder that reminds me on every Friday 3-4 times	reminds me
Sure.	Not Found
Hi i need a reminder for transferring money to Dr. Nagarjuna	transferring money to Dr. Nagarjuna
9704877612	Not Found
Hi I want you to remind me .. I have a meeting at 11 am with satish tomorrow	I have a meeting at 11 am with satish
Remind me at 10.30	Not Found
Hi, Remind me to change my password at 5:30 pm today	change my password
It's my friend b'day on 2nd December..do remind me at 12 to wish her..	wish her..
More 1 reminder	Not Found
Its my frnd's bday on 3 jan. Will u plz remind me that.	Not Found
Thank you so much Harshad....but plz remind me...	Not Found
1st april	Not Found
I think haptik forgot me to remind at 4pm today	I think haptik forgot me to remind
Pls remind me for booking train ticket tomorrow	booking train ticket
Remind transfer money to IDBI on 01.01.2017 8.30 am	transfer money to IDBI
And remind me to take conference list	take conference list
Remind to wish a friend for his bday at 11:50 pm today	wish a friend for his bday
Will you remind me purchase gift for my wife?	purchase gift for my wife
Reminder in the name of Mr katyal	Not Found
Thanks Vipul for reminding me daily	Not Found
I need another remainder	Not Found
Hi can set a lunch remider for me	Not Found
Please remind me at 4.15pm today. Audit closure meeting	Audit closure meeting
U remember me????	Not Found
Talk to Narendra sir on Thursday	Talk to Narendra sir
I have missed both reminders... Anyway thank you	missed both reminders... Anyway thank you
I want to set alarm	Not Found
Thanks I got the reminder	Not Found
set reminder for light bill complaint	light bill complaint
Can u give me same remainder in another 30 mins	Not Found
Please remind for policy at 3:30 pm	remind for policy
Plz remind me to read news paper at 12 :10 pm	read news paper
Frequency of Reminders: 30 min	Not Found
Remind me to take a meeting time from Aditya designer at 4 pm today	take a meeting time from Aditya designer
Remind me to remove my charger	remove my charger
Set me reminder	Not Found
Remind me to meet my cousin at 3:30 pm today	meet my cousin
Plz remind me to take out the food from car	take out the food from car
Sneha there should be two reminders everyday	Sneha there should be two reminders
Remind me when the world gets over	Not Found
Reminder Date 1-1-2017 Time 11 am Subject- take cash	take cash
Remind me to finish reading Agatha Christie	finish reading Agatha Christie
Can you please remove the reminder by call.. just a notification is enough	call.. just a notification
Thanks from reminding me	Not Found
Date of birth Reminder please	Not Found
Pls remind at 8.30 pm to get invitation card	get invitation card
And can u set it to do it everyday too pls	Not Found
general reminder for today at 10:30 pm	Not Found
Remind me bathing at 11:15am please	bathing
Remind me today at 4 Pm to visit my doctor	visit my doctor
Please remind me to pay my toll at 12 noon	pay my toll
Make me a call on 8804033000 if my nmbr is nt reachable	Make me a call on 8804033000 if my nmbr and nt reachable
WRONG Reminder	Not Found
Is it 10days reminder or only for 11 dec	or only for 11 dec
Pls set alarms between 9:30 am and 10:30 am???? Each at interval of 5 mins??????	Not Found
also reminder for due date of just dail is	Not Found
can you plz close the reminder	Not Found
Set alarm morning 8:am	Not Found
Mera reminder bajta h nahi	bajta h nahi
Remind me to take cheque from husband	take cheque
Could you please remind me to wash clothes by 9 PM today?	wash clothes
I need to put this alarm from Monday to friday	Not Found
Ohhh u only remind..won't help in solving problems	won't help in solving problems
Can you remind me to complete assignment in brand equity which has t9 be submitted on Monday?	complete assignment
What will you remind me about on 7th Jan?	Not Found
Remind me to apply for transfer at 1100am tomorrow	apply for transfer
Remind me 8:15pm to beat my dog	beat my dog
I am having to do list for today	Not Found
Shreyansh could u plz set this up ASAP	Not Found
Remind me after 1:30 Hr	Not Found
Thank you so much for the reminder	Not Found
There's something more to remind me today	Not Found
Set me a reminder for 7:30 am	7:30 am
Remind me to eat boiled eggs everyday at 7pm through text message	eat boiled eggs and through text message
Please erase the reminder for tomorrow	Not Found
Ty for reminding me	reminding me
Can you remind me everday	Not Found
One more reminder to set	Not Found
Remind me tomorrow at 10:30am to courier pieces to Asia Spa	courier pieces to Asia Spa
Reminde me collect cheq at 10am tomorrow	collect cheq
Meeting hairdresser today ; Pls remind me after 1 month to meet him again	Meeting hairdresser and meet him again
Remind me to get my fee paid.	get my fee paid
Pls remind me sahil's birthday on 7th October	sahil's birthday
Hw will u remind	Hw
Remind me to check airtel bills	check airtel bills
Can U schedule that for the next whole month ??	Not Found
Can u set d same time every day for me plz	set d same time
Remind me to ask chhavi to teach me at 7 today	ask chhavi to teach me
Ty for reminder	Not Found
Remind me tomorrow morning to get laptop	get laptop
Remind me to go to saloon today at 8:30pm	go to saloon
Remind me to prepare	prepare
Please remind me to take Passport with me, tomorrow at 8.45 am	take Passport with me
Remind for tiles	tiles
Today remind me after one hour	Not Found
Want to change the date of reminder.	Not Found
Remind me on 2-01-2017 and 03-01-2017 @1:55 pm for my metting	my metting
Remind me to shop today at 6.46	shop
Meeting Reminder Date: January 9, 2017 Time: 10 00 am Meeting with: Shrey Gupta BA task	Meeting with: Shrey Gupta BA task
Morning 7 am	Not Found
I had requested you to cancle the reminder at 5:45	Not Found
And also remind me to punch out everyday at 6 pm	punch out
I need you to remind me every 10 minutes.	Not Found
Can I activate others reminders also same day it's possible	Not Found
Reminder was set up?	set up
Remind me to recharge my phone	recharge my phone
Remind me today at 845 am to provide Haliyal freight to cochin chennai	provide Haliyal freight to cochin chennai
Need to keep some reminder	keep some reminder
8109851953	Not Found
I have set reminders for every day, where I can find and manage them	Not Found
I want to know about career opportunities	career opportunities
I need help about transactions	help about transactions
Remind me to drink coffee at 3:05 pm today on 9049961794	drink coffee
for ur remind	Not Found
Give reminder at 4 pm	Give reminder
Set one more reminder at 3:45 am	Not Found
please can you confirm hos to go about with the cab services	confirm hos and go about with the cab services
Tom 2 pm call to Monil for Roc form Tom 11 am call to Yash for vat return	Monil for Roc form Tom and Yash for vat return
Please call me to remond	Not Found
reminder at 12.05 am on 24th november	Not Found
Can u give details about aprilia 300 cc scooter	give details about aprilia 300 cc scooter
Remind me to buy books 📚	buy books
Remind on Jan 7	Not Found
Hi thanks but I m on leave today	Not Found
Nothanks	Not Found
Dnd	Not Found
Set remainder at 10 am tomorrow	Not Found
I have to receive that call?	receive that call
Can u remind me without internet	without internet
Remind me at 10 am Tomorrow to remind bipro to bring iser baudrillard tomorrow.	remind bipro to bring iser baudrillard
Remind me to post on Juhu group on 9th Dec at 10:30am	post on Juhu group on 9th Dec
Set all reminder to alarm at given set time	alarm
Remind me tomorrow 6pm to take print of roll number	take print of roll number
Can you access my contacts??, Can u schedule a msg to one of the contact from me??	schedule a msg to one of the contact
Remind everyday	Not Found
Set the book remainder to 3:30 pm on 11/10/16	Not Found
Hi set reminder	Not Found
I think you forgot to remaind me that how many days are left for 10 March	how many days are left for 10 March
remind me for dinner	dinner
Yes..... you reminded well... thanks for that	Not Found
Is it possible to extract the birthday reminder from Facebook on this app.	possible to extract the birthday and Facebook on this app
Remind me every 2 hrs	Not Found
But I have alarm for that😋	Not Found
I was supposed to get a call at 7	get a call
Pls remaind me 10:00 movie	Not Found
Remind me Monday morning at 9am to courier pieces for Miss World	courier pieces for Miss World
Remind me daily Monday to Friday about status mail at 8.30 pm	status mail
Remind me to check my bank balance	check my bank balance
To day I have to courier the demat details remind me at 9	courier the demat details remind
Thank you Varsha. Remind me of Ticket booking by Nov 30	Ticket booking
Wish Birthday Name: Rishi,sundeep, bunty Date: November 26, 2016 Time: 11 55 PM	Wish Birthday
End my all reminder	Not Found
Hai I would like to request to remind me after half n hour to meet bank manager	request to remind and meet bank manager
I will be able to have in between but if I forget the reminder will be there	will be there
February 24	Not Found
When madhu is call , call and tell him to Ajit is bathing	When madhu and call and tell him to Ajit is bathing
Can you set the reminder for 1pm on 30th dec	Not Found
To reminder for cheque collect	cheque collect
Hi can reminder at 6o'clock	clock
Can u tell me about amu exam dates?	amu exam dates
And do remind me one second on 10. 10 as well	Not Found
Do i have to remind you to remind me	Not Found
Want u to reminde me what i gonna say to you	Not Found
Thanks for remind me sayali	Not Found
Whoz b'day is tomorrow?	Whoz b'day
Need to set a reminder fr me can u help?	help
Can you set my remainder	Not Found
Reminder at 2 pm for attendance regularization	attendance regularization
Can you set a reminder for dance class at 10:00am everyday	dance class
Plz give me a reminder cal instead of reminder msgs	Not Found
Remind me to drink tea at 5pm today	drink tea
Reminder for taking xerox of peer rating sheets	taking xerox of peer rating sheets
Remainder me tomorrow at 10:30am to go to bank	go to bank
Kindly set new reminders	Not Found
Okkk..	Not Found
Call me at 5:00 today	Not Found
Can you please remind me to send a mail in the evening?	send a mail
Tell me about Brand Factory Kolkata	Brand Factory Kolkata
Remind me today at 2 pm for paying gas bill	paying gas bill
Today evening	Not Found
21 Nov call to Kiran on 12	Kiran
Dinner reminder for today	Not Found
Thanks vanisha for the reminder	Not Found
Kindly call on 8686688030	call
I wnna set reminder	Not Found
If I want to remind someone else is it possible	remind someone else is it possible
After the wakeup call	wakeup call
I am done thanks for remembering	remembering
Pls deectivet my alarm	Not Found
Remimd tommorow about my travel at 10 am	my travel
Close that reminder	Not Found
Reminder to buy deterigine @9.30pm tonight	buy deterigine
Remind me of going to hazira tomorrow at 1pm	going to hazira
I need to set a to do list of mine	Not Found
Add a new reminder	Not Found
As reminder please give me a alarm	give me a alarm
What is my reminder	What
i want a to do reminder	Not Found
Remind me to activate my paypal accout at 1pm	activate my paypal accout
At 7 pm remember me- meet to sim cad activation dealer	meet to sim cad activation dealer
Ok how	Not Found
You missed one schedule	Not Found
I thought I would receive a call.	receive a call
Enough of getting call	getting call
Reminder for me	Not Found
Can you remind to Iron my clothes in evening	Iron my clothes
Rofin	Not Found
Can I schedule my appointment on sathe day	appointment
Remind me to watch the flash at 6:30 P.M	watch the flash
Today 11:00 remind me to recharge on paytm	recharge on paytm
Can you remind me to the different number	the different number
You forgot about the reminder	Not Found
U can remind me about my friend birthday on 25	my friend birthday
Remind me tomorrow at 11am to send et lenhga to Mumbai	send et lenhga to Mumbai
Set the reminder saying i gotta be ready fr tomorrow's prize distribution	be ready fr tomorrow's prize distribution
And one more alarm too	Not Found
Can you remind me send an important email tomorrow???	send an important email
Can you remind me to take UNO cards on 8 December at 10. 00 am	take UNO cards
Sayali plz cancle my hole schedule	Not Found
Outforce question Sunil Rao. Hdfc mediclaim. Health check up. Reminder 9.30 am 24 Nov 2016	Outforce question Sunil Rao. Hdfc mediclaim. Health check up
Remind me to go to kundan palace	go to kundan palace
Remind me to go to get fruits and grocery today at 3 pm	go to get fruits and grocery
Remind me to write a mail to PAG tomorrow	Not Found
Reliance Recharge 397 for the month of December 16. Please remind me. Thanks Ramesh	Thanks Ramesh
Why u have nt called me	Not Found
Remind me to get inf	get inf
please set reminde ... HDFC Personal Loan EMI due on 3rd of every month	HDFC Personal Loan EMI
I want reminder At 7:15 pm today	Not Found
Can u remind this on every Saturday same time	Not Found
Thanks for reminding for these many days	reminding for these many days
Ok thanks.. pls start reminder from Tom.	Not Found
Yaa remind me to have a breif revision of powr plant	have a breif revision of powr plant
Okay remind me to collect debit card at 8am Tmrw	collect debit card at 8am Tmrw
Set a reminder for 9 pm	Not Found
Ok... But remind me every 6 hours	Not Found
Tell me something about cortana	something about cortana
At 10	Not Found
Remind a friend if mine	friend if mine
Da	Not Found
Remind me to get syringe box and injection betnesol tomorow at 8am	get syringe box and injection betnesol
Also pls set reminder for today 11 30 pm erlo	Not Found
Remind me to give the count of guest for Hand delivery at 4:30pm on 8th January 2017	give the count of guest for Hand delivery
Pls let me know do u have missed call facility?	do u have missed call facility
Evertime i sy thanks to u whenever i recd a reminder from u	Not Found
Please do remind me	Not Found
Set a reminder for every two hour	Not Found
Wish Birthday Name: Dr dipali.gautami Date: November 15, 2016 Time: 6 53 PM	Not Found
On Nov 7 , 2.30 remind me that I should restart a process at office	I should restart a process
Wrong reminder	Not Found
Thank you very much for the continuous remind.	Thank you very much for the continuous remind
Can u please send me all my reminders	send me all my reminders
Please remind me to bath after 5 min	bath
I wanna set reminder	Not Found
Remind me for check your app	check your app
Remind tomorrow to place Vibhash order at 10 15 am	place Vibhash order
I had asked you to call	call
Remind me every 30minutes	Not Found
Remind to do pulse check of Pranay and abhinav	do pulse check of Pranay and abhinav
Plz remind me tomorrow to submit gtu form	submit gtu form
Remind me in the morning. At 8 am	Not Found
On day after 2mrw	Not Found
Remind me of credit card payment on 3rd january. At 11 am.	credit card payment on 3rd january
Re remind me at 11 o'clock 11 morning	Not Found
Mr Ankit tell me u about job dude	job dude
Daily remind	Not Found
Kindly make a reminder at 6:07am that I need to login my work	login my work
Remind me to go to 10th floor @ 4:05 pm today	go to 10th floor
Hi I wanted information about buying a mobile phone	buying a mobile phone
Remind me 9pm for Sameer work cot	Sameer work cot
Can u call me now	Not Found
Yea remind me roz	Not Found
I want you to remind me about my today's train.	Not Found
Now tell how you remind ?	Not Found
Yeah please	Not Found
Can you remind me to bring shoes from home to office at 8Am	bring shoes
Remind me to get my hard disc to office around 10:30	get my hard disc
Okay...but till what time will I be getting the remainders	getting the remainders
Remind me tommorrow	Not Found
Half an hour remind me to get a change from conductor	get a change from conductor
Can u remind me to book a cab in 5 mins ?	book a cab
Remind me to submit my taxes and pay the man all my money at 12:20 pm	submit my taxes and pay the man all my money
Thanks harsh for reminding me	reminding me
Remind me to recharge my father phone	recharge my father phone
Remind me at 11:45am that I have to send a boy to Fali's place with a hard disk and cheque	send a boy to Fali's place with a hard disk and cheque
Remind me about quiz sheets	quiz sheets
Reminder for pen drive	pen drive
Is it necessary to talk only about reminders???	talk only about reminders
Rod cut,dvd,fan,ticket book,garden,call rekha,battery,pipe back,purify arrange	ticket book and call rekha,battery,pipe back,purify arrange
Meeting Reminder Date: January 4, 2017 Time: 5 45 PM Meeting with: Venky Venue: Ground	Not Found
Remind me Joya account 10 30	Joya account
Reminder to wish all juniors for their exam on 16th dec at 11am	wish all juniors for their exam
Thnkiew for reminding	Not Found
Can u pls remind me the same	Not Found
Can u remind anything to any other number?	any other number
Please set me a reminder	Not Found
Give me the call on a time. It's very imp meeting.	Give me the call and meeting
It's been really satisfying that I can now schedule healthy habits with Haptik support, thank you👍	Not Found
Remind to prep for stand up at 11.50 am today	prep for stand up
Remind me to drop documents to kakaria tomo at 930 am	drop documents to kakaria tomo
Remind me to deposit Sanjeev Varma's cheque tomorrow at 12:30pm	deposit Sanjeev Varma's cheque
Good morning afan... yes, thank you so much... I had over three litres yesterday, please make this a daily reminder	Good morning afan... yes, thank you so much
Ty for all the reminders..	all the reminders
Hey there is change in the schedule can u please change the set alram	Hey there is change
And after 4 pm call ankita tawde for new serial	call ankita tawde for new serial
Hey anjali can you set a reminder for me	Not Found
Tomorrow remind me to check my bank balance at evening	check my bank balance
morning	Not Found
Thanks for reminder.	Not Found
Remind from 10 am to 6 pm	Not Found
Remind me to collect keys and transfer stuff from my old back to new	collect keys and transfer stuff
Kno about nearby theatre	Not Found
Can you remind me about going to bank at 9 am	going to bank
Every hour reminds me	Not Found
can u call directly to him	call directly to him
I asked you to call	call
Please remind me to contact ICICI Limited for claiming maturity money for investments in Safety Bonds.	contact ICICI Limited for claiming maturity money for investments
Pls unset this reminder	Not Found
Remind me to wish Bday on 11 jan	wish Bday on 11 jan
Remind me at 9 am tomorrow	Not Found
22 nov remind	Not Found
Remind me to message ravleen on 15th of November at 12 pm	Not Found
Hey :) how ?	Not Found
Just missed your call	Not Found
I told haptik to remind me a particular task but you only remind me !!	Not Found
Hi Maroofa, I can set to-do for you and keep a list of your day-to-day tasks at one place. Should I go ahead?	you and keep a list of your day-to-day tasks and Should I go ahead
Thank you, need to set one more reminders	set one more reminders
I needed snooze alarm	snooze alarm
Will I get a call when am offline	Will I get a call
This reminder is for the Skype chat with our client	the Skype chat with our client
6 pm reminder please for today	Not Found
Hey is it possible that this can be scheduled for everyday	Not Found
Remind me in the morning to masturbate	masturbate
Remind me for a meeting with Sangeetha mob anil kumar	meeting with Sangeetha mob anil kumar
Remainder me 17th November 5:20 pm	Not Found
Hi set a wack up alarm for me at 8 am	Not Found
Remind me today at 7:00 also ok?	Not Found
Do I need internet to be reminded?	Not Found
Remind me to transfer money to N	transfer money to N
Remind me about Yang Feng at 9am today	Yang Feng
Please remind me to purchase a mask	purchase a mask
Concall at 8.14am today. Please remind	Concall
Birthday is on Jan 20. Am I right to select 19 Jan.	Birthday and I right to select 19 Jan
remind me to check the list of urologists in hyderabad tomorrow @ 12:30pm	check the list of urologists
remind me for chque handover to smsc on 29th nov at 11am	chque handover to smsc on 29th
Remind me for movie timing 8:30 pm on Saturday	movie timing
Hi Sayali..is there any limit to how many reminders i can set?	Hi Sayali..is there any limit to how
Set a reminder to watch a movie for today 3 06 pm	watch a movie
Please remind me to take Muzaffar pendrive to office tonite at 9	take Muzaffar pendrive to office tonite
Remind me at 3:55pm today	Not Found
Again one reminder	Not Found
remind me @11:55 am	Not Found
Can u pls tell me how to remove this reminder	Not Found
Remind me to text liz in 15 mins	text liz
What about the reminder I set for 12:30 pm today?	Not Found
Can you please remind me in every 30 mins instead?	Not Found
Please remind me for DA calnders design at 12 pm today	DA calnders design
Can u remind me to catch Indian idol at 8pm tomorrow?	catch Indian idol
I give u 5 stars if u remind me of my name	5 stars if u remind me of my name
Shraddha I need a remainder for my badminton class	my badminton class
Thanks but i'd appreciate if the reminder comes at least 20 minutes ahead of the scheduled time.	comes
Fine it was set earlier but now getting any reminder	Not Found
Reminder on monday at 830 am to carry paaspory.	carry paaspory
and to prepare a flow chart about how to convince president for idea	prepare a flow chart about how to convince president
On 21jan 2017, reminders for CS firm	CS firm
CA I trust on my reminder	CA I trust
Remind me everyday for quess login	quess login
Hey are you remember December 25	Not Found
Hello reminder of CE at 6:35 today	Not Found
Would you be reminding everyone	you be reminding everyone
I just gt ur reminders	Not Found
Can you remind me to do study	do study
I need a reminder on 15th Feb 7:00 pm to check on my CC statement whether FreeCharge has credited 319 amount	check on my CC statement whether FreeCharge has credited 319 amount
Remind me to read ragesh's material after 20 minutes	read ragesh's material
Also set a reminder for next Thursday 1:15 pm, stating that the 'ELECTRONIC WORKSHOP' lab would take place in Nilgiri 104.	stating that the 'ELECTRONIC WORKSHOP' lab would take place
I want to know about shopping	know about shopping
A want to change my schedule	change my schedule
Remind about cash collection tomorrow@ 9.30am	cash collection
Can u please remind me for a checkup visit to the hospital?	a checkup visit to the hospital
U just called me from any number	Not Found
What are todays left over reminders?	What are todays left over reminders
I ve told u to remember on 10.30 am.. now it's 10.53	Not Found
Remind me to go for a walk every evening	go for a walk
I need to edit some photos could you please remind me at 10 am	edit some photos
Can you please remind me my cheques date	my cheques date
Reminder about doctor	doctor
Tell me about apple iPhone 7 and 7	apple iPhone
Can you tell me my pending reminders	pending reminders
Please remind me to send email to SM tomorrow at 9:30 Am	send email to SM
How you will remind	How you
you literally just set a reminder to kill myself	kill myself
Hi can you remind me to pick my laundry	pick my laundry
Can i know how to delete the scheduled remainder	Not Found
Hey can you remind me to put my calculator in my bag	put my calculator in my bag
Just remind me before 4 that is my 3 o'clock that I have to take something before leaving my home ok	take something
Can you give countdown reminders	give countdown reminders
And remind me to book a tattoo appointment at 3	book a tattoo appointment
Reminder me for boating in river	boating
I need u to set a reminder for me plz	Not Found
Call me on 9558417661	Call me
Pl remind me at 2:00 pm to send a mail to Ms Pragti regarding roasted chana	send a mail to Ms Pragti regarding roasted chana
Reminder to attend a function of CS- deva mohapatra on 17-01-17 evening 6pm	attend a function of CS- deva mohapatra
Remind me tomorrow evening 6.00 pm to take pic of moon	take pic of moon
Can you please remind me at 7.45 am tomorrow to take my boliter suit	take my boliter suit
Please remind me tomorrow at 11 for calling coaching centre	calling coaching centre
Tell me about new year parties in Pune ?	new year parties in Pune
Remaind me to take my process books today to office by 8:45am and even about Pendrive also	take my process books and Pendrive also
Remind me to use my haptik balance before it expires	use my haptik balance
Hi can I have multiple reminders listed.?	Not Found
Remind,me at 11am tom to write mom and email from fda	write mom and email from fda
Can you remind me for food	food
Pls tel me what all reminded u hav for me ??	hav for me
Pls remind me in another half hour	Not Found
Hey Leena .... Give me a call in half an hour	Give me a call
Call me 10 times at every 5 min	Call me 10 times
Remind me to go to school on 15 november 3 pm	go to school
Please remind me for dental check up today at 7pm	dental check up
Remind me tomorrow about campus drive	campus drive
How will you remind me	How
3.30 pm. Meeting kalpaj choudhary	Meeting kalpaj choudhary
General reminder at 8.30 am sunday	Not Found
remind saying movie at 8:00 pm	saying movie
Please remind me of buying the air ticket at the same time	buying the air ticket
Pls remind me to keep the documents of Ram sanjeevan new case for tomorrow @9 pm tonight	keep the documents of Ram sanjeevan new case
Reminder time upto 10PM	Not Found
Yes remind me everyday	Not Found
Can you please remind me to go to CNMS at 9:50	go to CNMS
Remind me to take nail cutter at 22.00 tonight	take nail cutter
Remind me on 17 dec its my best frmd deeps bday	deeps bday
please remind me after 11am-10pm would it be ok	Not Found
Remind me....daily.....	Not Found
I'll ping in some time	Not Found
I would like to add one more reminder	one more reminder
remind me to sleep after 10 mins	sleep
I want this reminder everyday	Not Found
Date: November 18, 2016 Time: 11 35 am Name of Person: Call gurpal of mahindra & mahindra	Not Found
how to put sound for reminder	put sound for reminder
Remind me tommroe at 8:50 pm about movie on star plus	movie on star plus
Remind me my gym time everyday	Not Found
Hi please remind me tomorrow for invitation card	invitation card
Hari Krishna 18 December	Not Found
Set a reminder to inform about the BBPL cricket match today.	inform about the BBPL cricket match
Remind to pay TDS for the latest floor slab	pay TDS for the latest floor slab
Remind me to apply for the VP Engineering post at Haptik this weekend	apply for the VP Engineering post
Reminder to recharge at 7pm today.	recharge
9.00am	Not Found
Alarm every morning except friday at 8am	Alarm
Reminder to purchase ropes, cartons, scrub for new apartment today at 7.15 pm	purchase ropes, cartons, scrub for new apartment
Can you setup a reminder to buy gift for my wife on 14th of this month.	buy gift for my wife
Tomorrow at 6pm remind me to fell EBC form	fell EBC form
Thankyou for reminder	Not Found
"Hi. Set me a reminder ""support pipeline"" every Friday at 10 am"	support pipeline
remind me to kill myself	kill myself
Bad reminder. .	Not Found
Can you please remind me the same thing in the morning 10?	same thing
Ankit gupta His bday is on 2 January	Ankit gupta His bday
Reminder to msg fariya	msg fariya
Ki muhje 5 bajne pr ek reminder chahiye	pr ek reminder chahiye
Thank you for the reminder. Hdfc CC is paid.	Hdfc CC is paid
Can you remind me in 15 mins from now..??	Not Found
how to set a daily reminder	Not Found
Good morning :)	)
I have set few reminders. For now I need them only. I'll let you know in case I need something else.	let you know in case I need something else
Pls also remind me to give 5 nominations for elections	give 5 nominations for elections
Remind me at 7 pm for Zym	Zym
Remind me around 4 that I have to book appointment at madona	book appointment
Is it possible to schedule for daily	Not Found
Thanks for your reminder!!!!	Not Found
Hi can you remind me to kill my manager in the second half	kill my manager
Remind me 4:30 to send the person at jain marble today	send the person
I just wanted to check the alarm	check the alarm
Yes on my way thanks for multiple reminders	Not Found
Reminder for ticket booking at 10.45 AM	ticket booking
Alarm for 11:13	Not Found
9.3	Not Found
Tomorrow at 1:00 pm remind me to take my pouch 👝 from lab	take my pouch
How about your day?	How about your day
Good morning vandana	Not Found
Id prefer if u text rather than call	text rather than call
Can you help me how I could set DND mode on my phone?	DND mode on my phone
Remind me on Tuesday again same	again same
I have a shopping list to be reminded at 6.40 pm	Not Found
8898749979	Not Found
Call clamp on ufm on monday	Call clamp
Please set a general reminder at 11.00 am, 12.00 noon, 2.00 pm,4.00 pm ,5.00 pm and 8.00 pm	Not Found
Shraddha you remember me I am Sunita I fight it to you because you were just talking me so rudely and deleted your app I downloaded it again you remember me	Not Found
Please schedule reminder to go to floor at 9.22 P.m today	go to floor
Remind me to wash my hair every after 2 days	wash my hair
Remind me to catch traine tomorrow at 10 pm	catch traine
Yes please remind me but in every 3 hours	Not Found
"Set a reminder to this number 7200034149 at 4am.""study"""	this number 7200034149 and study
Thanks for reminding me....	reminding me....
Set a reminder to watch the football match on saturday 6 pm	watch the football match
Can yu give me information about	give me information about
One more reminder please	Not Found
Remind me to take tabs from medical	take tabs from medical
Remind me for courier of draft to papa	courier of draft to papa
Bt how many reminders can I set at a time????	Not Found
I need multiple alarms	Not Found
VAT payment reminder	Not Found
Can you call for this	Not Found
Call me nw fr 5 minutes	Not Found
Pl set reminder after 20 min	Not Found
YA.... but I got morning to till evening reminder just.... so I asked	Not Found
Hey remind me at 3 to send my details to dr mukherjee.	send my details to dr mukherjee
Remind me today at 5:25 pm to visit the lawyer	visit the lawyer
Remind me to book ticket after 5min	book ticket
Remind me to give my friends earphones at 6:40	give my friends earphones
Remind me to get the bottles at 9 p.m. today	get the bottles
Remind about vendor for fascade at 11:15 am today.	vendor for fascade
Remind me to take new register	take new register
Title should be remind to collect cricket match tickets	collect cricket match tickets
So what my schedule	Not Found
When ever there is any contest or anything related to photography on social media or any where I Must know about it.	any contest or anything related to photography on social media or and about it.
Yes How can I set a To Do List	Not Found
It's too late reminder	Not Found
Remind me to see dhruvs travel job	see dhruvs travel job
Can you please remind me that I need to pick up my younger sisters from dance Institute and the timings 6 20 pm	pick up my younger sisters
So now I have 2 alarm scheduled, right?	Not Found
Ok Remind me @7 that i need to make Daily revenue report DND Report Login time report	make Daily revenue report DND Report Login time report
PL remind me again @ 9:40pm today	PL remind me again
Can u pls remind me once one plus 3T - 64gb is available in amazon	64gb is available in amazon
Can I get a call at 9.30 everyday?	Not Found
Remind me to leave for the railway station at 6	leave for the railway station
Please remind me after 28 days that my data will expire	my data will expire
Siddharth, remind me tomorrow to go for movie at 6:45	go for movie
Thnx manal. ..Can u plz remind me the same at 10pm tonight ?	Not Found
Can u remind me my task daily @9.30 a.m	Not Found
Yes sure	Not Found
I needed a stronger reminder	Not Found
Will you remind me for apply face wash for daily at 11:07 am and 06:03 pm except sunday	apply face wash for daily
Can u send send the list about the ATM and money withdrawal?	the ATM and money withdrawal
Thnkew for d call i really appreciate it.	appreciate it
Set a reminder	Not Found
Please set up a reminder for 31st Dec 2016 for me to resume back to Whats App and reactivate Facebook.	resume back to Whats App and reactivate Facebook
I would like to know about you...?	like to know about you...?
Please schedule for daily	Not Found
Whenever I need help I will tell you...	help I will tell you...
Hey, can you remind me to wish someone on their birthday?	wish someone on their birthday
Ur nt reminder to morning 😢	Not Found
Remind me to collect cheque after 10 days	collect cheque
Remind me in the morning at 9AM	Not Found
Remind about Sri vidya at 4 pm tomorrow	Sri vidya
Please remind me to transfer money to my friend's account..	transfer money to my friend's account
Remind me to get pics	get pics
Call me after every 5 minutes three times atleast please	times atleast
Please remind me to watch nat geo channel today at 9 pm.	watch nat geo channel
Thnk u fr reminders.	Not Found
Hi could you tell me if I can put a reminder which opens a website on a scheduled time?	which opens a website
Bro call me at 6:00 pm today	Bro call me
Hey remind me tomorrow morning at 9:30 am to make city bank credit card payment	make city bank credit card payment
Do we need WiFi or mobile data on for remainders?	Do we need WiFi or mobile data on for remainders
tomorrow at 8 pm remind me to take my samsung head phone back	take my samsung head phone back
Reminder watch UFC	watch UFC
Hi Shraddha can u set a reminder to ping me around 6:30pm to go to Wellness and speak to Fitty?	go to Wellness and speak to Fitty
Change reminder	Not Found
Remind me tomorrow for laundry	laundry
Set my another reminder every day	another reminder
Remind me to put in download at 11pm today.	put in download
Can I have reminder calander for all mnth	calander for all mnth
Please remind after one hour...	Not Found
Remind me to finish my project by 4pm	finish my project
Remind me to take b estate tomorrow	take b estate
Remind me to buy macbook today at 2:51 pm on 9049961794	buy macbook
Already I set morning remainder	Not Found
Remind me to go to 232 at 9:30 pm tday	go to 232
